BEGIN_LOG
13-46-02.381986900: N
13-46-02.482815400: E
13-46-02.612900300: V
13-46-02.765081900: E
13-46-02.886947300: R
13-46-03.031139900: Enter
13-46-07.977060800: C
13-46-08.232332300: R
13-46-08.333337500: A
13-46-08.544894100: Z
13-46-08.633012100: Y
13-46-08.818656800: Enter
13-46-09.849610500: X
13-46-10.068722400: X
13-46-10.268302500: X
13-46-10.435169200: X
13-46-10.701382: X
13-46-11.324162200: Enter
