BEGIN_LOG
13-48-07.744506900: N
13-48-07.843261300: E
13-48-07.944289400: V
13-48-08.110840400: E
13-48-08.252425800: R
13-48-08.425154: Enter
13-48-14.832271700: X
13-48-15.101809: X
13-48-15.295234: X
13-48-15.489462800: X
13-48-15.799004400: X
13-48-16.115704900: Enter
13-48-47.226110: M
13-48-47.361518700: A
13-48-47.438817400: K
13-48-47.557986200: E
13-48-48.226681600: Enter
13-48-55.041119500: W
13-48-55.201707400: H
13-48-55.271516200: A
13-48-55.348324500: T
13-48-55.658183200: Enter
13-49-05.665577300: M
13-49-05.868060400: A
13-49-05.947858900: K
13-49-06.081564700: E
13-49-09.525511200: Enter
13-49-09.527551800: Enter
13-49-09.528283400: Enter
13-49-09.752875: Enter
13-49-09.754755400: Enter
13-49-09.755753300: Enter
13-49-09.926379600: Enter
13-49-09.928354400: Enter
13-49-09.929353200: Enter
13-49-10.083865700: Enter
13-49-10.085189: Enter
13-49-10.085866300: Enter
13-49-10.278965600: Enter
