BEGIN_LOG
15-39-00.153314800: H
15-39-00.308131400: E
15-39-00.397638500: L
15-39-00.546630200: L
15-39-00.783492900: O
15-39-01.029719300: Enter
15-39-05.880085800: C
15-39-06.147238500: R
15-39-06.264755200: A
15-39-06.480864: Z
15-39-06.594117900: Y
15-39-07.245178400: Enter
15-39-11.170574800: N
15-39-11.338588600: E
15-39-11.410028800: V
15-39-11.559621600: E
15-39-11.749281700: R
15-39-13.375481800: Enter
15-39-17.703857100: N
15-39-19.462959200: Backspace
15-39-20.552708600: M
15-39-20.673072700: O
15-39-20.789764900: V
15-39-20.948504500: I
15-39-21.067900400: E
15-39-25.599853: Enter
15-39-25.600845800: Enter
15-39-25.601847400: Enter
15-39-26.066785100: Enter
15-39-26.067790100: Enter
15-39-26.068786100: Enter
15-39-26.248272300: Enter
15-39-26.250221: Enter
15-39-26.251330800: Enter
15-39-26.391348700: Enter
15-39-26.392486300: Enter
15-39-26.393355900: Enter
15-39-26.555318800: Enter
15-39-26.556447600: Enter
15-39-26.557330800: Enter
15-39-26.718617100: Enter
