BEGIN_LOG
15-49-52.209837900: N
15-49-52.388342300: E
15-49-52.538185700: V
15-49-52.683472800: E
15-49-52.806734900: R
15-49-52.925711800: Enter
15-49-55.923594900: C
15-49-56.146545200: R
15-49-56.239572200: A
15-49-56.479447100: Z
15-49-56.593222: Y
15-49-56.845117500: Enter
15-50-01.053074: X
15-50-01.277870800: X
15-50-01.428756600: X
15-50-01.637773700: X
15-50-01.821743200: X
15-50-02.270636900: Enter
15-50-14.725658700: G
15-50-14.886840500: I
15-50-15.004346500: F
15-50-15.265435: T
15-50-15.456591500: E
15-50-15.869738500: D
15-50-16.289118: Enter
