BEGIN_LOG
14-21-07.862898900: N
14-21-07.976498300: E
14-21-08.150487900: V
14-21-08.251866600: E
14-21-08.385375900: R
14-21-08.496815100: Enter
14-21-13.105209700: X
14-21-13.624517500: X
14-21-13.658522500: X
14-21-13.692157700: X
14-21-13.726124800: X
14-21-13.760121200: X
14-21-13.761520300: X
14-21-13.762122100: X
14-21-13.794125100: X
14-21-13.795791100: X
14-21-13.796163500: X
14-21-13.845728400: Enter
