BEGIN_LOG
15-35-57.044480200: C
15-35-57.236085600: R
15-35-57.321772900: A
15-35-57.563568: Z
15-35-57.683941800: Y
15-35-57.852011700: Enter
15-36-14.173831800: N
15-36-14.220055700: E
15-36-14.442685900: V
15-36-14.653133200: E
15-36-14.708241200: R
15-36-14.898558300: Enter
15-36-30.911489100: H
15-36-31.024202500: E
15-36-31.133714700: L
15-36-31.296726700: L
15-36-31.493847900: O
15-36-31.746716100: Enter
