BEGIN_LOG
15-47-33.984503200: H
15-47-34.112834200: E
15-47-34.242645200: L
15-47-34.407304500: L
15-47-34.586809900: O
15-47-34.830463200: Enter
15-47-35.443177300: N
15-47-35.637717500: E
15-47-35.796602200: V
15-47-35.933425500: E
15-47-36.052603500: R
15-47-36.193651: Enter
15-47-38.322121800: X
15-47-38.523654300: X
15-47-38.683395300: X
15-47-38.845733300: X
15-47-39.002187100: X
15-47-39.240991900: Enter
15-47-55.832006700: G
15-47-56.118862600: I
15-47-56.320674500: F
15-47-56.592895800: T
15-47-56.775327700: E
15-47-57.338466600: D
15-47-57.621757100: Enter
15-48-01.332898900: G
15-48-01.507037500: I
15-48-01.895093200: F
15-48-02.131465700: T
15-48-02.233436500: E
15-48-02.501488100: D
15-48-02.660951: Enter
15-48-04.320610700: A
15-48-06.968685200: Backspace
15-48-09.393421800: S
15-48-13.969962: Backspace
15-48-15.201153900: L
15-48-15.425468800: I
15-48-15.535862600: F
15-48-15.772420400: T
15-48-15.906267200: E
15-48-16.199140300: D
15-48-16.435767100: Enter
15-48-23.258445200: D
15-48-24.311457400: I
15-48-24.582649: F
15-48-24.888573600: T
15-48-25.198719500: E
15-48-25.457407500: D
15-48-25.587349100: Enter
15-48-26.621634200: Backspace
15-48-27.035100600: Backspace
15-48-27.285781600: Backspace
15-48-27.441587900: Backspace
15-48-27.618885900: Backspace
15-48-27.803714200: Backspace
15-48-29.627193200: L
15-48-29.844305: I
15-48-29.910043100: F
15-48-30.150791200: T
15-48-30.254397800: E
15-48-30.481433200: D
15-48-30.594782800: Enter
