BEGIN_LOG
15-13-04.513840: H
15-13-04.612393900: E
15-13-04.748756900: L
15-13-04.928894200: L
15-13-05.120127700: O
15-13-05.339318800: Enter
15-13-08.975148600: D
15-13-09.238247400: F
15-13-09.386440400: A
15-13-09.504376100: S
15-13-09.576574700: D
15-13-09.678944300: F
15-13-09.681522100: F
15-13-09.683401100: F
