BEGIN_LOG
15-51-52.489695700: H
15-51-52.646279700: E
15-51-52.764201500: L
15-51-53.028582200: O
15-51-53.517238300: Backspace
15-51-53.866233800: L
15-51-54.102971500: O
15-51-54.346317700: Enter
15-51-55.031949900: C
15-51-55.308955: R
15-51-55.387139800: A
15-51-55.625135900: Z
15-51-55.762077700: Y
15-51-58.973659200: Enter
15-51-59.740462: X
15-51-59.959430900: X
15-52-00.141913500: X
15-52-00.329941200: X
15-52-00.829559100: X
15-52-02.171886600: Enter
15-52-10.654580400: A
15-52-10.832805100: M
15-52-10.921802300: A
15-52-11.177159500: Z
15-52-11.296792800: E
15-52-12.098929700: Enter
15-52-14.221032300: T
15-52-14.962585400: Backspace
15-52-17.215052: M
15-52-17.428328800: O
15-52-17.506965: V
15-52-17.648209700: I
15-52-17.771539300: E
15-52-17.922462200: Enter
15-52-19.768849400: I
15-52-19.899472200: M
15-52-20.070941600: A
15-52-20.194719100: G
15-52-20.296604800: E
15-52-20.398564800: Enter
15-52-23.015801800: N
15-52-23.102224: E
15-52-23.258548100: V
15-52-23.470276100: E
15-52-23.583083100: R
15-52-24.072010400: Enter
15-52-29.060075900: Enter
15-52-33.914212500: M
15-52-34.025927200: O
15-52-34.186632700: V
15-52-34.277647400: I
15-52-34.374138600: E
15-52-34.490112400: Enter
15-52-34.713843100: I
15-52-35.055797: M
15-52-35.199371900: A
15-52-35.339083500: G
15-52-35.422512900: E
15-52-35.574832700: Enter
15-52-35.892976300: N
15-52-35.978949400: E
15-52-36.121735500: V
15-52-36.256435700: E
15-52-36.373170300: R
15-52-36.493148500: Enter
15-52-37.022521: X
15-52-37.222945500: X
15-52-37.387271400: X
15-52-37.573315300: X
15-52-38.046855200: X
15-52-38.187709: Enter
15-52-45.647649900: G
15-52-45.791663900: I
15-52-45.996536900: F
15-52-46.205545700: T
15-52-46.275586400: E
15-52-46.495137500: D
15-52-46.620443100: Enter
15-52-47.116148400: G
15-52-47.255006300: I
15-52-47.591942600: F
15-52-47.952015300: T
15-52-48.036733700: E
15-52-48.249979700: D
15-52-48.399765500: Enter
15-52-48.669347200: G
15-52-48.823415600: I
15-52-48.943619400: F
15-52-49.302788300: T
15-52-49.485356300: E
15-52-49.687121600: D
15-52-50.138674800: Enter
15-52-57.778820100: G
15-52-57.983548400: U
15-52-58.021531500: R
15-52-58.224258100: A
15-52-58.353693300: N
15-52-58.472495500: G
15-52-59.073683800: D
15-52-59.075754600: D
15-52-59.077210900: D
15-52-59.902343700: Enter
15-53-00.645731600: D
15-53-00.847627: Enter
15-53-02.429204600: Backspace
15-53-02.653032: Backspace
15-53-02.812455200: Backspace
15-53-02.988276700: Backspace
15-53-03.418069400: Backspace
15-53-04.592382700: L
15-53-05.268097900: I
15-53-05.375091600: F
15-53-05.640965: T
15-53-05.711860100: E
15-53-05.948013300: D
15-53-06.060761900: Enter
15-53-07.392466900: L
15-53-07.574831200: A
15-53-07.741300500: N
15-53-07.881830600: D
15-53-08.177130800: E
15-53-08.365067800: D
15-53-08.700794700: Enter
15-53-12.544794: A
15-53-12.736147200: M
15-53-12.892935400: A
15-53-13.222109300: Z
15-53-13.457174800: E
15-53-13.638453400: S
15-53-13.886924100: Enter
